text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
panic,#000000,Arial,120,385,385,260,200,168.6438,144
afraid,#000000,Arial,68,318,362,105,98,93.55729,81.6
worried,#000000,Arial,67,342,342,227,96,120.8797,80.4
uneasy,#000000,Arial,67,461,461,379,96,129.0839,80.4
disturbed,#000000,Arial,64,-19,-19,160,91,142.8797,76.8
phobic,#000000,Arial,61,520,520,496,84,78.32344,73.2
agitated,#000000,Arial,57,54,64,354,77,95.82604,68.4
shocked,#000000,Arial,56,87,87,258,75,125.0219,67.2
aghast,#000000,Arial,44,319,319,444,52,65.93698,52.8
horrified,#000000,Arial,41,548,592,146,46,106.5453,49.2
timorous,#000000,Arial,38,426,457,73,39,74.35886,45.6
scary,#000000,Arial,33,261,261,336,30,44.4125,39.6
frightened,#000000,Arial,32,177,177,531,28,92.94428,38.4
upset,#000000,Arial,31,216,201,98,27,46.45781,37.2
fear,#000000,Arial,31,190,190,426,26,32.23802,37.2
concerned,#000000,Arial,30,232,300,65,24,73.39063,36
jettery,#000000,Arial,22,622,610,213,8,43.06042,26.4
nervous,#000000,Arial,20,334,334,407,6,42.19531,24
