text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
down,#000000,Arial,120,500,385,260,200,168.6438,144
sorrow,#000000,Arial,68,500,362,105,98,93.55729,81.6
despair,#000000,Arial,67,500,342,227,96,120.8797,80.4
sullen,#000000,Arial,67,500,461,379,96,129.0839,80.4
melancholy,#000000,Arial,64,500,-19,160,91,142.8797,76.8
woeful,#000000,Arial,61,500,520,496,84,78.32344,73.2
depressed,#000000,Arial,57,500,64,354,77,95.82604,68.4
wretched,#000000,Arial,56,500,87,258,75,125.0219,67.2
uneasy,#000000,Arial,44,500,319,444,52,65.93698,52.8
crestfallen,#000000,Arial,41,500,592,146,46,106.5453,49.2
aggrieved,#000000,Arial,38,500,457,73,39,74.35886,45.6
gloomy,#000000,Arial,33,500,261,336,30,44.4125,39.6
downhearted,#000000,Arial,32,500,177,531,28,92.94428,38.4
glum,#000000,Arial,31,500,201,98,27,46.45781,37.2
sad,#000000,Arial,31,500,190,426,26,32.23802,37.2
miserable,#000000,Arial,30,500,300,65,24,73.39063,36
unhappy,#000000,Arial,22,500,610,213,8,43.06042,26.4
agonized,#000000,Arial,20,500,334,407,6,42.19531,24
