text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
panic,#000000,Arial,160,500,112,138,160,224.8593628,192
afraid,#000000,Arial,90,500,475,317,90,123.8229042,108
worried,#000000,Arial,89,500,255,97,89,171.4687439,106.8
uneasy,#000000,Arial,89,500,28,301,89,160.5729095,106.8
disturbed,#000000,Arial,85,500,1,26,85,189.7656097,102
phobic,#000000,Arial,81,500,247,378,81,104.0052048,97.2
agitated,#000000,Arial,75,500,532,256,75,126.0885323,90
shocked,#000000,Arial,74,500,28,476,74,165.2083145,88.8
aghast,#000000,Arial,58,500,64,120,58,86.91665878,69.6
horrified,#000000,Arial,54,500,385,495,54,140.3229042,64.8
timorous,#000000,Arial,50,500,-19,413,50,97.83853455,60
scary,#000000,Arial,43,500,495,435,43,57.86978798,51.6
frightened,#000000,Arial,42,500,540,203,42,121.9895737,50.4
upset,#000000,Arial,40,500,361,334,40,41.5937458,48
fear,#000000,Arial,40,500,-19,278,40,59.94270287,48
concerned,#000000,Arial,39,500,465,52,39,95.40624313,46.8
jettery,#000000,Arial,28,500,-11,236,28,54.80728683,33.6
nervous,#000000,Arial,25,500,634,131,25,52.74478683,30
