text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
thank you,"rgba(76, 175, 80, 0.8)",GT Flexa,90,500,243,257,90,236.55730285644532,108
谢谢,"rgba(63, 81, 181, 0.8)",GT Flexa,79,500,284,194,79,86.9,94.8
grazie,"rgba(255, 235, 59, 0.95)",GT Flexa,66,500,82,-16,66,105.25625000000001,79.2
merci,"rgba(255, 235, 59, 0.95)",GT Flexa,66,500,269,131,66,96.34166946411133,79.2
gracias,"rgba(76, 175, 80, 0.8)",GT Flexa,66,500,481,202,66,121.88229446411134,79.2
danke,"rgba(156, 39, 176, 0.9)",GT Flexa,66,500,409,341,66,106.0125,79.2
ขอบคุณ,"rgba(0, 188, 212, 0.7)",GT Flexa,66,500,33,177,66,120.01458892822266,79.2
спасибо,"rgba(3, 169, 244, 0.7)",GT Flexa,66,500,425,25,66,148.16771392822267,79.2
dankie,"rgba(76, 175, 80, 0.8)",GT Flexa,51,500,299,498,51,89.38646392822267,61.199999999999996
شكرا,"rgba(0, 188, 212, 0.7)",GT Flexa,51,500,216,406,51,60.88958473205567,61.199999999999996
tak,"rgba(3, 169, 244, 0.7)",GT Flexa,51,500,347,541,51,41.227084732055665,61.199999999999996
dank u,"rgba(33, 150, 243, 0.75)",GT Flexa,51,500,27,146,51,91.59791946411134,61.199999999999996
dankon,"rgba(255, 193, 7, 1)",GT Flexa,51,500,69,243,51,101.11979446411134,61.199999999999996
takk fyri,"rgba(233, 30, 99, 0.95)",GT Flexa,51,500,163,356,51,107.54791946411133,61.199999999999996
ありがとう,"rgba(233, 30, 99, 0.95)",GT Flexa,51,500,27,58,51,140.25,61.199999999999996
kiitos,"rgba(205, 220, 57, 0.9)",GT Flexa,51,500,109,305,51,71.47708892822266,61.199999999999996
obrigado,"rgba(0, 150, 136, 0.75)",GT Flexa,51,500,-6,98,51,123.15416946411133,61.199999999999996
tack,"rgba(139, 195, 74, 0.85)",GT Flexa,51,500,255,102,51,55.29791946411133,61.199999999999996
감사합니다,"rgba(33, 150, 243, 0.75)",GT Flexa,51,500,475,157,51,140.25,61.199999999999996
teşekkür ederim,"rgba(3, 169, 244, 0.7)",GT Flexa,51,500,365,88,51,216.26458892822268,61.199999999999996
تشکر از شما,"rgba(244, 67, 54, 1)",GT Flexa,51,500,248,453,51,150.57396392822267,61.199999999999996
salamat,"rgba(33, 150, 243, 0.75)",GT Flexa,51,500,359,404,51,103.69791946411134,61.199999999999996
cảm ơn bạn,"rgba(103, 58, 183, 0.85)",GT Flexa,30,500,457,5,30,87.74791946411133,36
