text,frequency
angel,15
bell,20
candle,30
candy,35
celebrate,20
ceremony,5
chestnuts,15
chimney,15
Christmas,60
Xmas,40
eve,30
decoration,20
evergreen,30
family,20
festive,20
feast,20
firewood,5
gift,40
gingerbread,20
gold,5
goose,5
happy,30
holiday,20
chocolate,20
cider,10
hug,20
joy,20
mitten,20
Merry Christmas,30
ornament,10
party,40
pine tree,40
poinsettia,30
present,40
reunion,20
star,15
yule,10
wrap,5
visit,10
toboggan,5
spirit,20
skate,20
scarf,10
Santa,40
St. Nicholas,5
sales,20
sleign,10
snow,30
red,10
😊, 20
