text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
sore,#000000,Arial,160,500,112,138,160,224.8593628,192
angry,#000000,Arial,90,500,475,317,90,123.8229042,108
grumpy,#000000,Arial,89,500,28,301,89,160.5729095,106.8
frigid,#000000,Arial,89,500,255,97,89,171.4687439,106.8
resentful,#000000,Arial,85,500,1,26,85,189.7656097,102
storm,#000000,Arial,81,500,207,388,81,104.0052048,97.2
steaming,#000000,Arial,75,500,532,256,75,126.0885323,90
annoyed,#000000,Arial,74,500,28,476,74,165.2083145,88.8
cranky,#000000,Arial,58,500,80,114,58,86.91665878,69.6
irritable,#000000,Arial,54,500,385,495,54,140.3229042,64.8
outraged,#000000,Arial,50,500,-19,413,50,97.83853455,60
riley,#000000,Arial,43,500,521,414,43,57.86978798,51.6
aggravated,#000000,Arial,42,500,540,203,42,121.9895737,50.4
fussy,#000000,Arial,40,500,-19,278,40,59.94270287,48
mad,#000000,Arial,40,500,361,334,40,41.5937458,48
choleric,#000000,Arial,39,500,478,54,39,95.40624313,46.8
fuming,#000000,Arial,28,500,-11,236,28,54.80728683,33.6
furious,#000000,Arial,25,500,591,140,25,52.74478683,30
