text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
delighted,"rgba(63, 81, 181, 0.8)",GT Flexa,90,500,140.797265625,230,90,184.202734375,108
laugh,#335671,GT Flexa,83,500,318.5765625,172.4,83,101.4234375,99.6
happy,"rgba(63, 81, 181, 0.8)",GT Flexa,81,500,135.12578125,65.8,81,108.87421875000001,97.2
euphoric,#000000,GT Flexa,80,500,227.064453125,304,80,153.935546875,96
pleased,"rgba(63, 81, 181, 0.8)",GT Flexa,77,500,86.01015625,177.60000000000002,77,126.98984375,92.39999999999999
joyful,#000000,GT Flexa,73,500,177.09375,369.4,73,95.90625000000001,87.6
buoyant,#30355F,GT Flexa,71,500,335.191796875,91.8,71,125.808203125,85.2
rosy,#000000,GT Flexa,70,500,435.694921875,353,70,66.30507812500001,84
sanguine,"rgba(63, 81, 181, 0.8)",GT Flexa,69,500,256.099609375,38.2,69,134.900390625,82.8
enthusiastic,#30355F,GT Flexa,67,500,418.023828125,406.6,67,173.976171875,80.39999999999999
blissful,#335671,GT Flexa,66,500,494.10234375,157.8,66,106.89765625000001,79.2
triumphant,#335671,GT Flexa,62,500,34.361328125,11.600000000000009,62,149.638671875,74.39999999999999
glad,#30355F,GT Flexa,61,500,126.23710937499999,311.8,61,57.762890625000004,73.2
content,#30355F,GT Flexa,57,500,157.724609375,144.60000000000002,57,92.27539062500001,68.39999999999999
elated,#30355F,GT Flexa,57,500,38.15703124999999,361.6,57,74.84296875000001,68.39999999999999
merry,"rgba(63, 81, 181, 0.8)",GT Flexa,51,500,300.024609375,423.8,51,66.975390625,61.199999999999996
exuberant,"rgba(63, 81, 181, 0.8)",GT Flexa,38,500,484.603125,310.4,38,82.39687500000001,45.6
cheerful,#000000,GT Flexa,30,500,344.95390625,170,30,54.046093750000004,36
