text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
losing,#000000,Barrio,120,500,-19,121,120,172.44792785644532,144
art,#000000,Barrio,85,500,33,49,85,54.55542030334473,102
disaster,#000000,Barrio,85,500,250,47,85,163.68916778564454,102
isn't hard,#000000,Barrio,85,500,-19,254,85,188.22833557128908,102
master,#000000,Barrio,85,500,39,340,85,142.8716812133789,102
you,#000000,Barrio,62,500,428,298,62,54.98167114257813,74.39999999999999
names,#000000,Barrio,50,500,419,150,50,82.5412567138672,60
gesture,#000000,Barrio,50,500,444,261,50,91.7262550354004,60
keys,#000000,Barrio,50,500,370,379,50,56.544588088989265,60
love,#000000,Barrio,50,500,550,204,50,50.4487533569336,60
voice,#000000,Barrio,50,500,504,360,50,64.1987533569336,60
write,#000000,Barrio,50,500,386,205,50,58.061670303344734,60
