text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
despair,#000000,GT Flexa,90,500,-19,77,90,142.94414062500002,108
sullen,#000000,GT Flexa,90,500,186.75859375,307,90,118.24140625000001,108
sorrow,#000000,GT Flexa,90,500,485,292,90,137.478515625,108
melancholy,#000000,GT Flexa,88,500,342,131,88,225.78789062500002,105.6
woeful,#000000,GT Flexa,85,500,318,244,85,129.821484375,102
depressed,#000000,GT Flexa,81,500,97,453,81,175.65625,97.2
wretched,#000000,GT Flexa,81,500,404,380,81,163.259765625,97.2
glum,#000000,GT Flexa,78,500,213,191,78,88.1890625,93.6
uneasy,#000000,GT Flexa,69,500,-19,191,69,105.38515625000001,82.8
crestfallen,#000000,GT Flexa,65,500,185,30,65,148.865234375,78
aggrieved,#000000,GT Flexa,61,500,467,77,61,132.270703125,73.2
gloomy,#000000,GT Flexa,55,500,620,233,55,92.434375,66
brokenhearted,#000000,GT Flexa,53,500,-8,406,53,166.71875,63.599999999999994
down,#000000,GT Flexa,53,500,50,284,53,64.77968750000001,63.599999999999994
sad,#000000,GT Flexa,52,500,12,344,52,38.126171875000004,62.4
miserable,#000000,GT Flexa,50,500,64,-3,50,106.901953125,60
unhappy,#000000,GT Flexa,34,500,575,498,34,64.40156250000001,40.8
agonized,#000000,GT Flexa,30,500,451,231,30,59.55468750000001,36
